content_id,title,description,category,level,duration,difficulty,rating
117,Course 117 - Workshop,Synthetic course about attention,problem-solving,Advanced,66,3,4.29
118,Course 118 - Lab,Synthetic course about coding,neuroscience,Intermediate,112,3,2.91
119,Course 119 - Lab,Synthetic course about problem-solving,neuroscience,Beginner,120,3,4.26
120,Course 120 - Essentials,Synthetic course about problem-solving,attention,Beginner,63,1,2.85
121,Course 121 - Lab,Synthetic course about memory,attention,Beginner,51,1,4.05
122,Course 122 - Essentials,Synthetic course about problem-solving,memory,Beginner,22,1,3.76
123,Course 123 - Mastery,Synthetic course about attention,attention,Beginner,103,2,3.25
124,Course 124 - Bootcamp,Synthetic course about problem-solving,attention,Beginner,185,2,2.78
125,Course 125 - Workshop,Synthetic course about attention,neuroscience,Beginner,23,2,4.34
126,Course 126 - Mastery,Synthetic course about attention,attention,Intermediate,164,1,3.45
127,Course 127 - Mastery,Synthetic course about problem-solving,neuroscience,Intermediate,184,2,2.72
128,Course 128 - Essentials,Synthetic course about memory,problem-solving,Intermediate,107,3,4.43
129,Course 129 - Bootcamp,Synthetic course about attention,problem-solving,Beginner,125,2,3.08
130,Course 130 - Essentials,Synthetic course about memory,memory,Intermediate,124,1,4.34
131,Course 131 - Mastery,Synthetic course about memory,creativity,Advanced,55,1,3.91
132,Course 132 - Workshop,Synthetic course about problem-solving,attention,Intermediate,77,1,2.99
133,Course 133 - Lab,Synthetic course about creativity,problem-solving,Advanced,188,1,2.69
134,Course 134 - Essentials,Synthetic course about creativity,problem-solving,Intermediate,27,3,3.98
135,Course 135 - Mastery,Synthetic course about attention,memory,Intermediate,177,2,2.56
136,Course 136 - Lab,Synthetic course about logic,logic,Intermediate,105,2,2.66
137,Course 137 - Lab,Synthetic course about creativity,logic,Beginner,199,1,4.26
138,Course 138 - Mastery,Synthetic course about problem-solving,memory,Beginner,116,2,3.85
139,Course 139 - Bootcamp,Synthetic course about problem-solving,neuroscience,Beginner,172,3,3.32
140,Course 140 - Mastery,Synthetic course about creativity,creativity,Beginner,199,1,3.85
141,Course 141 - Workshop,Synthetic course about logic,memory,Beginner,78,2,3.98
142,Course 142 - Lab,Synthetic course about coding,logic,Advanced,49,2,3.91
143,Course 143 - Workshop,Synthetic course about attention,creativity,Beginner,120,2,4.11
144,Course 144 - Essentials,Synthetic course about coding,problem-solving,Advanced,86,2,4.85
145,Course 145 - Lab,Synthetic course about coding,memory,Intermediate,151,1,3.47
146,Course 146 - Bootcamp,Synthetic course about memory,neuroscience,Beginner,112,1,3.25
147,Course 147 - Mastery,Synthetic course about memory,creativity,Beginner,82,3,2.6
148,Course 148 - Essentials,Synthetic course about attention,logic,Beginner,51,1,2.87
149,Course 149 - Workshop,Synthetic course about logic,problem-solving,Advanced,106,2,2.77
150,Course 150 - Essentials,Synthetic course about memory,memory,Intermediate,70,2,3.34
151,Course 151 - Bootcamp,Synthetic course about creativity,attention,Beginner,82,2,4.02
152,Course 152 - Mastery,Synthetic course about attention,problem-solving,Advanced,99,3,2.62
153,Course 153 - Essentials,Synthetic course about problem-solving,logic,Intermediate,106,1,4.32
154,Course 154 - Workshop,Synthetic course about coding,memory,Beginner,129,1,3.49
155,Course 155 - Essentials,Synthetic course about attention,logic,Intermediate,120,1,4.91
156,Course 156 - Mastery,Synthetic course about problem-solving,attention,Intermediate,148,2,3.92
157,Course 157 - Essentials,Synthetic course about problem-solving,problem-solving,Beginner,38,2,4.43
158,Course 158 - Workshop,Synthetic course about memory,creativity,Intermediate,120,2,4.65
159,Course 159 - Mastery,Synthetic course about problem-solving,creativity,Beginner,182,3,4.72
160,Course 160 - Bootcamp,Synthetic course about logic,problem-solving,Beginner,113,3,3.8
161,Course 161 - Bootcamp,Synthetic course about problem-solving,creativity,Beginner,100,2,3.49
162,Course 162 - Lab,Synthetic course about problem-solving,memory,Advanced,122,3,3.9
163,Course 163 - Essentials,Synthetic course about coding,problem-solving,Intermediate,132,3,3.51
164,Course 164 - Workshop,Synthetic course about logic,problem-solving,Beginner,173,3,3.1
165,Course 165 - Essentials,Synthetic course about attention,logic,Beginner,32,1,3.31
166,Course 166 - Mastery,Synthetic course about logic,neuroscience,Beginner,137,3,3.08
167,Course 167 - Lab,Synthetic course about logic,logic,Intermediate,105,2,3.17
168,Course 168 - Workshop,Synthetic course about attention,creativity,Beginner,42,1,2.73
169,Course 169 - Essentials,Synthetic course about coding,neuroscience,Intermediate,126,3,3.57
170,Course 170 - Workshop,Synthetic course about problem-solving,problem-solving,Advanced,182,2,3.09
171,Course 171 - Mastery,Synthetic course about logic,creativity,Intermediate,31,3,3.62
172,Course 172 - Lab,Synthetic course about logic,attention,Beginner,156,2,4.48
173,Course 173 - Workshop,Synthetic course about attention,creativity,Beginner,97,2,3.62
174,Course 174 - Mastery,Synthetic course about creativity,neuroscience,Beginner,86,3,4.89
175,Course 175 - Bootcamp,Synthetic course about logic,neuroscience,Intermediate,127,3,2.87
176,Course 176 - Workshop,Synthetic course about memory,problem-solving,Intermediate,63,1,4.63
177,Course 177 - Lab,Synthetic course about problem-solving,memory,Intermediate,168,3,3.12
178,Course 178 - Workshop,Synthetic course about problem-solving,attention,Beginner,26,2,4.83
179,Course 179 - Workshop,Synthetic course about coding,problem-solving,Advanced,147,1,3.07
180,Course 180 - Mastery,Synthetic course about logic,attention,Beginner,116,2,4.37
181,Course 181 - Essentials,Synthetic course about attention,attention,Beginner,30,2,2.66
182,Course 182 - Essentials,Synthetic course about memory,problem-solving,Intermediate,192,3,4.07
183,Course 183 - Workshop,Synthetic course about attention,creativity,Beginner,179,2,3.05
184,Course 184 - Lab,Synthetic course about logic,logic,Intermediate,125,3,4.18
185,Course 185 - Lab,Synthetic course about memory,attention,Intermediate,102,2,4.09
186,Course 186 - Mastery,Synthetic course about coding,neuroscience,Intermediate,55,1,4.81
187,Course 187 - Workshop,Synthetic course about coding,problem-solving,Beginner,137,3,4.07
188,Course 188 - Workshop,Synthetic course about coding,memory,Beginner,184,1,3.52
189,Course 189 - Essentials,Synthetic course about creativity,creativity,Beginner,60,3,2.98
190,Course 190 - Mastery,Synthetic course about attention,attention,Beginner,111,1,4.14
191,Course 191 - Bootcamp,Synthetic course about logic,memory,Advanced,68,3,2.79
192,Course 192 - Lab,Synthetic course about memory,creativity,Intermediate,162,1,4.57
193,Course 193 - Lab,Synthetic course about problem-solving,problem-solving,Beginner,160,1,3.12
194,Course 194 - Workshop,Synthetic course about problem-solving,memory,Advanced,72,3,3.81
195,Course 195 - Mastery,Synthetic course about attention,neuroscience,Intermediate,126,3,3.99
196,Course 196 - Bootcamp,Synthetic course about logic,attention,Beginner,52,2,3.41
197,Course 197 - Lab,Synthetic course about creativity,attention,Beginner,138,2,4.16
198,Course 198 - Mastery,Synthetic course about logic,memory,Beginner,51,3,3.13
199,Course 199 - Bootcamp,Synthetic course about attention,creativity,Advanced,137,3,2.59
200,Course 200 - Workshop,Synthetic course about logic,problem-solving,Intermediate,195,1,4.9
201,Course 201 - Essentials,Synthetic course about problem-solving,logic,Advanced,81,1,3.3
202,Course 202 - Lab,Synthetic course about problem-solving,attention,Beginner,101,2,4.28
203,Course 203 - Lab,Synthetic course about memory,neuroscience,Advanced,149,2,3.77
204,Course 204 - Bootcamp,Synthetic course about creativity,attention,Beginner,96,2,4.17
205,Course 205 - Essentials,Synthetic course about problem-solving,attention,Advanced,35,1,2.78
206,Course 206 - Mastery,Synthetic course about memory,logic,Advanced,142,1,3.8
207,Course 207 - Workshop,Synthetic course about creativity,logic,Beginner,27,1,3.48
208,Course 208 - Mastery,Synthetic course about problem-solving,problem-solving,Intermediate,166,2,3.63
209,Course 209 - Bootcamp,Synthetic course about creativity,attention,Intermediate,179,3,4.92
210,Course 210 - Lab,Synthetic course about logic,attention,Advanced,86,2,2.84
211,Course 211 - Lab,Synthetic course about memory,creativity,Beginner,134,1,4.39
212,Course 212 - Mastery,Synthetic course about creativity,creativity,Beginner,132,2,3.33
213,Course 213 - Workshop,Synthetic course about creativity,memory,Advanced,51,2,3.23
214,Course 214 - Bootcamp,Synthetic course about logic,memory,Intermediate,124,2,3.18
215,Course 215 - Workshop,Synthetic course about problem-solving,neuroscience,Beginner,44,2,3.37
216,Course 216 - Bootcamp,Synthetic course about problem-solving,neuroscience,Intermediate,72,1,3.39
217,Course 217 - Workshop,Synthetic course about attention,creativity,Beginner,100,2,3.18
218,Course 218 - Mastery,Synthetic course about attention,memory,Intermediate,44,1,4.17
219,Course 219 - Essentials,Synthetic course about problem-solving,neuroscience,Beginner,52,2,2.62
220,Course 220 - Bootcamp,Synthetic course about coding,attention,Beginner,50,1,3.33
221,Course 221 - Mastery,Synthetic course about coding,memory,Beginner,55,3,3.2
222,Course 222 - Lab,Synthetic course about creativity,logic,Beginner,106,1,4.38
223,Course 223 - Lab,Synthetic course about problem-solving,memory,Intermediate,142,1,2.87
224,Course 224 - Workshop,Synthetic course about attention,attention,Intermediate,196,3,4.85
225,Course 225 - Lab,Synthetic course about creativity,creativity,Beginner,63,3,2.93
226,Course 226 - Essentials,Synthetic course about memory,problem-solving,Beginner,67,3,3.43
227,Course 227 - Bootcamp,Synthetic course about attention,problem-solving,Intermediate,177,3,3.0
228,Course 228 - Workshop,Synthetic course about attention,creativity,Beginner,32,3,3.22
229,Course 229 - Bootcamp,Synthetic course about attention,attention,Intermediate,190,3,4.4
230,Course 230 - Bootcamp,Synthetic course about coding,neuroscience,Intermediate,163,2,3.69
231,Course 231 - Mastery,Synthetic course about logic,memory,Advanced,110,2,2.91
232,Course 232 - Lab,Synthetic course about logic,memory,Intermediate,173,3,2.62
233,Course 233 - Bootcamp,Synthetic course about coding,neuroscience,Beginner,194,1,3.07
234,Course 234 - Essentials,Synthetic course about problem-solving,problem-solving,Intermediate,184,1,4.86
235,Course 235 - Essentials,Synthetic course about problem-solving,creativity,Advanced,150,3,4.61
236,Course 236 - Lab,Synthetic course about coding,creativity,Beginner,173,2,3.6
237,Course 237 - Lab,Synthetic course about coding,logic,Advanced,162,2,3.7
238,Course 238 - Workshop,Synthetic course about problem-solving,problem-solving,Intermediate,85,1,4.75
239,Course 239 - Workshop,Synthetic course about logic,creativity,Beginner,47,3,3.98
240,Course 240 - Workshop,Synthetic course about creativity,logic,Beginner,144,2,4.7
241,Course 241 - Lab,Synthetic course about coding,neuroscience,Intermediate,185,3,3.73
242,Course 242 - Bootcamp,Synthetic course about creativity,problem-solving,Beginner,191,3,3.0
243,Course 243 - Mastery,Synthetic course about creativity,problem-solving,Beginner,99,1,4.31
244,Course 244 - Workshop,Synthetic course about memory,creativity,Beginner,151,3,3.82
245,Course 245 - Mastery,Synthetic course about logic,creativity,Beginner,91,3,4.17
246,Course 246 - Essentials,Synthetic course about creativity,attention,Beginner,63,1,2.89
247,Course 247 - Lab,Synthetic course about logic,neuroscience,Intermediate,138,2,4.12
248,Course 248 - Essentials,Synthetic course about logic,neuroscience,Beginner,65,3,3.46
249,Course 249 - Workshop,Synthetic course about memory,memory,Advanced,103,1,3.33
250,Course 250 - Bootcamp,Synthetic course about problem-solving,logic,Beginner,45,2,4.18
251,Course 251 - Workshop,Synthetic course about logic,logic,Beginner,115,3,3.98
252,Course 252 - Mastery,Synthetic course about creativity,attention,Beginner,32,2,4.12
253,Course 253 - Workshop,Synthetic course about problem-solving,memory,Beginner,144,1,4.91
254,Course 254 - Bootcamp,Synthetic course about problem-solving,neuroscience,Beginner,88,3,4.25
255,Course 255 - Bootcamp,Synthetic course about attention,logic,Intermediate,191,1,4.1
256,Course 256 - Lab,Synthetic course about creativity,neuroscience,Intermediate,70,1,4.03
257,Course 257 - Lab,Synthetic course about creativity,neuroscience,Beginner,32,3,3.5
258,Course 258 - Bootcamp,Synthetic course about logic,memory,Beginner,188,1,4.6
259,Course 259 - Bootcamp,Synthetic course about creativity,logic,Beginner,158,2,3.45
260,Course 260 - Mastery,Synthetic course about attention,creativity,Intermediate,184,1,4.25
261,Course 261 - Workshop,Synthetic course about logic,creativity,Intermediate,79,3,3.23
262,Course 262 - Lab,Synthetic course about coding,memory,Beginner,51,3,2.87
263,Course 263 - Mastery,Synthetic course about creativity,logic,Beginner,192,2,2.82
264,Course 264 - Workshop,Synthetic course about creativity,attention,Advanced,37,3,4.09
265,Course 265 - Lab,Synthetic course about memory,problem-solving,Beginner,112,1,3.32
266,Course 266 - Mastery,Synthetic course about coding,memory,Intermediate,167,1,3.19
267,Course 267 - Essentials,Synthetic course about coding,neuroscience,Beginner,63,3,3.98
268,Course 268 - Essentials,Synthetic course about attention,memory,Intermediate,183,2,2.56
269,Course 269 - Lab,Synthetic course about coding,problem-solving,Advanced,56,2,3.12
270,Course 270 - Mastery,Synthetic course about memory,memory,Advanced,180,3,3.35
271,Course 271 - Workshop,Synthetic course about attention,logic,Intermediate,146,1,4.27
272,Course 272 - Workshop,Synthetic course about coding,neuroscience,Beginner,38,3,3.86
273,Course 273 - Mastery,Synthetic course about attention,problem-solving,Beginner,198,3,4.64
274,Course 274 - Essentials,Synthetic course about coding,creativity,Beginner,51,2,3.34
275,Course 275 - Mastery,Synthetic course about coding,attention,Advanced,125,1,3.24
276,Course 276 - Essentials,Synthetic course about problem-solving,memory,Intermediate,41,2,2.58
277,Course 277 - Essentials,Synthetic course about coding,memory,Beginner,141,2,4.88
278,Course 278 - Workshop,Synthetic course about creativity,problem-solving,Beginner,148,1,3.75
279,Course 279 - Lab,Synthetic course about coding,attention,Intermediate,73,1,3.76
280,Course 280 - Bootcamp,Synthetic course about creativity,memory,Advanced,167,1,4.81
281,Course 281 - Mastery,Synthetic course about logic,creativity,Intermediate,77,3,3.22
282,Course 282 - Essentials,Synthetic course about problem-solving,problem-solving,Beginner,182,1,3.33
283,Course 283 - Mastery,Synthetic course about memory,logic,Beginner,89,3,4.14
284,Course 284 - Lab,Synthetic course about attention,neuroscience,Beginner,82,2,4.46
285,Course 285 - Lab,Synthetic course about attention,creativity,Advanced,22,1,4.25
286,Course 286 - Bootcamp,Synthetic course about logic,attention,Advanced,118,3,4.47
287,Course 287 - Bootcamp,Synthetic course about coding,attention,Advanced,64,3,3.94
288,Course 288 - Essentials,Synthetic course about memory,creativity,Intermediate,162,3,4.66
289,Course 289 - Bootcamp,Synthetic course about logic,logic,Intermediate,36,3,3.88
290,Course 290 - Essentials,Synthetic course about logic,memory,Intermediate,162,2,3.07
291,Course 291 - Workshop,Synthetic course about attention,logic,Intermediate,24,1,3.85
292,Course 292 - Essentials,Synthetic course about creativity,memory,Intermediate,193,1,4.28
293,Course 293 - Bootcamp,Synthetic course about creativity,memory,Beginner,30,1,4.13
294,Course 294 - Mastery,Synthetic course about coding,attention,Intermediate,111,1,3.11
295,Course 295 - Bootcamp,Synthetic course about coding,memory,Beginner,161,1,2.6
296,Course 296 - Lab,Synthetic course about logic,creativity,Beginner,58,1,3.13
297,Course 297 - Bootcamp,Synthetic course about coding,memory,Intermediate,61,3,4.96
298,Course 298 - Workshop,Synthetic course about creativity,creativity,Advanced,113,1,2.96
299,Course 299 - Essentials,Synthetic course about memory,neuroscience,Intermediate,24,3,3.66
300,Course 300 - Lab,Synthetic course about attention,attention,Beginner,71,2,4.1
301,Course 301 - Essentials,Synthetic course about creativity,logic,Advanced,169,3,4.7
302,Course 302 - Essentials,Synthetic course about problem-solving,problem-solving,Intermediate,63,2,4.4
303,Course 303 - Bootcamp,Synthetic course about coding,logic,Beginner,134,1,4.77
304,Course 304 - Mastery,Synthetic course about attention,logic,Intermediate,172,2,4.01
305,Course 305 - Lab,Synthetic course about problem-solving,problem-solving,Beginner,146,2,4.66
306,Course 306 - Workshop,Synthetic course about attention,attention,Beginner,135,3,3.16
307,Course 307 - Workshop,Synthetic course about logic,memory,Advanced,168,3,3.58
308,Course 308 - Mastery,Synthetic course about coding,neuroscience,Beginner,87,2,4.61
309,Course 309 - Mastery,Synthetic course about logic,logic,Beginner,66,2,3.31
310,Course 310 - Bootcamp,Synthetic course about attention,memory,Beginner,146,1,4.68
311,Course 311 - Workshop,Synthetic course about logic,logic,Beginner,54,3,3.41
312,Course 312 - Lab,Synthetic course about coding,attention,Beginner,26,2,3.41
313,Course 313 - Mastery,Synthetic course about creativity,attention,Beginner,135,3,3.27
314,Course 314 - Mastery,Synthetic course about memory,creativity,Beginner,71,1,3.87
315,Course 315 - Mastery,Synthetic course about problem-solving,attention,Beginner,129,1,2.82
316,Course 316 - Lab,Synthetic course about creativity,attention,Beginner,65,2,2.59
317,Course 317 - Workshop,Synthetic course about attention,logic,Beginner,156,1,4.74
318,Course 318 - Lab,Synthetic course about creativity,neuroscience,Intermediate,42,2,4.82
319,Course 319 - Lab,Synthetic course about logic,logic,Intermediate,150,3,2.69
320,Course 320 - Bootcamp,Synthetic course about coding,memory,Beginner,146,3,3.87
321,Course 321 - Mastery,Synthetic course about creativity,attention,Intermediate,28,2,3.85
322,Course 322 - Workshop,Synthetic course about creativity,creativity,Advanced,72,2,3.43
323,Course 323 - Bootcamp,Synthetic course about coding,neuroscience,Advanced,196,2,3.92
324,Course 324 - Bootcamp,Synthetic course about logic,creativity,Beginner,67,3,3.65
325,Course 325 - Essentials,Synthetic course about memory,problem-solving,Intermediate,142,3,3.72
326,Course 326 - Mastery,Synthetic course about creativity,creativity,Beginner,101,1,4.39
327,Course 327 - Workshop,Synthetic course about problem-solving,creativity,Beginner,128,1,3.81
328,Course 328 - Workshop,Synthetic course about attention,memory,Beginner,26,3,3.31
329,Course 329 - Workshop,Synthetic course about logic,attention,Beginner,118,3,3.95
330,Course 330 - Mastery,Synthetic course about logic,memory,Intermediate,50,2,4.1
331,Course 331 - Workshop,Synthetic course about creativity,attention,Intermediate,121,3,4.16
332,Course 332 - Lab,Synthetic course about problem-solving,memory,Intermediate,75,3,4.05
333,Course 333 - Lab,Synthetic course about coding,attention,Beginner,118,1,4.16
334,Course 334 - Mastery,Synthetic course about creativity,attention,Beginner,24,1,3.28
335,Course 335 - Workshop,Synthetic course about creativity,attention,Beginner,49,2,3.62
336,Course 336 - Essentials,Synthetic course about coding,creativity,Beginner,41,1,4.17
337,Course 337 - Essentials,Synthetic course about attention,problem-solving,Advanced,164,2,4.39
338,Course 338 - Essentials,Synthetic course about coding,attention,Intermediate,157,3,3.59
